Section,Sub Section,Index Name,Column Name,Currency,Unit,Source URL,Active,Discovered At,Review Status
,,SMM Chongqing A00 Aluminum Ingot,SMM Chongqing A00 Aluminum Ingot (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Shenyang A00 Aluminum Ingot SMM-AL-AL-025 USD/tonne -2.74 24/04/2026,SMM Shenyang A00 Aluminum Ingot SMM-AL-AL-025 USD/tonne -2.74 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Shenyang A00 Aluminum Ingot SMM-AL-AL-025,SMM Shenyang A00 Aluminum Ingot SMM-AL-AL-025 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Shenyang A00 Aluminum Ingot,SMM Shenyang A00 Aluminum Ingot (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Tianjin A00 Aluminum Ingot SMM-AL-AL-026 USD/tonne -9.86 24/04/2026,SMM Tianjin A00 Aluminum Ingot SMM-AL-AL-026 USD/tonne -9.86 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Tianjin A00 Aluminum Ingot SMM-AL-AL-026,SMM Tianjin A00 Aluminum Ingot SMM-AL-AL-026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Tianjin A00 Aluminum Ingot,SMM Tianjin A00 Aluminum Ingot (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Linyi A00 Aluminum Ingot SMM-AL-AL-027 USD/tonne -5.98 24/04/2026,SMM Linyi A00 Aluminum Ingot SMM-AL-AL-027 USD/tonne -5.98 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Linyi A00 Aluminum Ingot SMM-AL-AL-027,SMM Linyi A00 Aluminum Ingot SMM-AL-AL-027 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Linyi A00 Aluminum Ingot,SMM Linyi A00 Aluminum Ingot (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Guinean Bauxite CIF China SMM-AL-BA-002 USD/dmt 0 24/04/2026,Guinean Bauxite CIF China SMM-AL-BA-002 USD/dmt 0 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Guinean Bauxite CIF China SMM-AL-BA-002,Guinean Bauxite CIF China SMM-AL-BA-002 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Guinean Bauxite CIF China,Guinean Bauxite CIF China (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Bauxite FOB Guinea SMM-AL-BA-007 USD/dmt 0 24/04/2026,Bauxite FOB Guinea SMM-AL-BA-007 USD/dmt 0 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Bauxite FOB Guinea SMM-AL-BA-007,Bauxite FOB Guinea SMM-AL-BA-007 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Bauxite FOB Guinea,Bauxite FOB Guinea (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Australia Bauxite (Low-Temperature) CIF China SMM-AL-BA-003 USD/dmt 0 24/04/2026,Australia Bauxite (Low-Temperature) CIF China SMM-AL-BA-003 USD/dmt 0 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Australia Bauxite (Low-Temperature) CIF China SMM-AL-BA-003,Australia Bauxite (Low-Temperature) CIF China SMM-AL-BA-003 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Australia Bauxite (Low-Temperature) CIF China,Australia Bauxite (Low-Temperature) CIF China (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
